Trial01
Date:,2017/07/11
Time:,16:52:01
Type:,
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,A,,,B,,,C,,,*1,,,*2
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1194,-344.074432,307.718903,980.674866,-345.318573,206.326782,978.637451,-272.807465,256.283386,980.174561,,,,,,
1195,-344.074097,307.717255,980.675171,-345.318146,206.324997,978.637451,-272.807159,256.282410,980.175354,,,,,,
1196,-344.073700,307.715759,980.675598,-345.317474,206.322968,978.638123,-272.806793,256.281464,980.176147,,,,,,
1197,-344.073242,307.714478,980.676025,-345.316498,206.320755,978.639465,-272.806396,256.280548,980.177002,,,,,,
1198,-344.072723,307.713409,980.676453,-345.315186,206.318451,978.641418,-272.806030,256.279724,980.177856,,,,,,
1199,-344.072174,307.712585,980.676880,-345.313568,206.316162,978.643738,-272.805695,256.279022,980.178650,,,,,,
1200,-344.071655,307.711975,980.677429,-345.311707,206.314026,978.646240,-272.805420,256.278473,980.179443,,,,,,
1201,-344.071167,307.711578,980.678040,-345.309692,206.312073,978.648743,-272.805267,256.278046,980.180176,,,,,,
1202,-344.070740,307.711395,980.678711,-345.307678,206.310318,978.651062,-272.805206,256.277710,980.181030,,,,,,
1203,-344.070374,307.711395,980.679565,-345.305695,206.308777,978.653076,-272.805267,256.277466,980.181885,,,,,,
1204,-344.070129,307.711639,980.680481,-345.303864,206.307510,978.654724,-272.805481,256.277191,980.182861,,,,,,
1205,-344.070007,307.712067,980.681580,-345.302216,206.306564,978.655884,-272.805817,256.276917,980.183960,,,,,,
1206,-344.070038,307.712677,980.682739,-345.300781,206.305969,978.656555,-272.806305,256.276642,980.185120,,,,,,
1207,-344.070221,307.713440,980.683960,-345.299530,206.305710,978.656799,-272.806885,256.276459,980.186279,,,,,,
1208,-344.070526,307.714294,980.685242,-345.298462,206.305725,978.656677,-272.807556,256.276398,980.187439,,,,,,
1209,-344.071014,307.715210,980.686401,-345.297516,206.306030,978.656189,-272.808319,256.276459,980.188477,,,,,,
1210,-344.071625,307.716217,980.687500,-345.296722,206.306625,978.655518,-272.809204,256.276703,980.189453,,,,,,
